type,interaction,Model,Target,Accuracy,1.0_Precision,1.0_Recall,1.0_F1-Score,4.0_Precision,4.0_Recall,4.0_F1-Score,macro avg_Precision,macro avg_Recall,macro avg_F1-Score,weighted avg_Precision,weighted avg_Recall,weighted avg_F1-Score
test_metrics,SchoolConnect_x_Race_3.0,random_forest,AST,0.23281061519903498,0.027565084226646247,0.9473684210526315,0.05357142857142857,0.9943181818181818,0.21604938271604937,0.3549695740365112,0.510941633022414,0.5817089018843404,0.20427050130396987,0.9721609938154807,0.23281061519903498,0.3480617757689158
train_metrics,SchoolConnect_x_Race_4.0,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,SchoolConnect_x_Race_4.0,random_forest,AST,0.2322074788902292,0.02754399387911247,0.9473684210526315,0.05353159851301115,0.9943019943019943,0.2154320987654321,0.3541349568746829,0.5109229940905534,0.5814002599090318,0.20383327769384701,0.9721446939304204,0.2322074788902292,0.34724537447556136
train_metrics,SchoolConnect_x_Race_5.0,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,SchoolConnect_x_Race_5.0,random_forest,AST,0.13178528347406515,0.02507624534056252,0.9736842105263158,0.04889329369012223,0.9945205479452055,0.11203703703703703,0.2013869625520111,0.5097983966428841,0.5428606237816764,0.12514012812106667,0.9723016797311064,0.13178528347406515,0.19789193274697384
train_metrics,SchoolConnect_x_Race_nan,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,SchoolConnect_x_Race_nan,random_forest,AST,0.14987937273823884,0.024939383443020435,0.9473684210526315,0.04859939250759366,0.9906759906759907,0.13117283950617284,0.23167075497410738,0.5078076870595055,0.5392706302794021,0.14013507374085052,0.968542099798516,0.14987937273823884,0.22747490951347557
train_metrics,NeighborConnect_x_ParentalWarmth,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,NeighborConnect_x_ParentalWarmth,random_forest,AST,0.17400482509047044,0.02565016031350196,0.9473684210526315,0.04994797086368366,0.9921414538310412,0.1558641975308642,0.26940517471325687,0.5088958070722716,0.5516163092917479,0.15967657278847025,0.9699902661629674,0.17400482509047044,0.26437539561417134
train_metrics,NeighborConnect_x_Is_Male,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,NeighborConnect_x_Is_Male,random_forest,AST,0.14083232810615198,0.02533378979801438,0.9736842105263158,0.04938271604938272,0.9949367088607595,0.12129629629629629,0.21623108665749655,0.5101352493293869,0.5474902534113061,0.13280690135343964,0.9727142052875483,0.14083232810615198,0.21240705886310068
train_metrics,NeighborConnect_x_Race_1.0,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,NeighborConnect_x_Race_1.0,random_forest,AST,0.1700844390832328,0.0258681785967399,0.9605263157894737,0.05037957211870255,0.9939271255060729,0.1515432098765432,0.26298875200856986,0.5098976520514064,0.5560347628330085,0.1566841620636362,0.9717400085081508,0.1700844390832328,0.25811592400144384
train_metrics,NeighborConnect_x_Race_2.0,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,NeighborConnect_x_Race_2.0,random_forest,AST,0.14837153196622438,0.025224602626123013,0.9605263157894737,0.04915824915824916,0.9928909952606635,0.12932098765432098,0.22883670125614414,0.5090577989433932,0.5449236517218974,0.13899747520719666,0.9707128752847212,0.14837153196622438,0.22471861851807418
train_metrics,NeighborConnect_x_Race_3.0,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,NeighborConnect_x_Race_3.0,random_forest,AST,0.23281061519903498,0.027203065134099615,0.9342105263157895,0.05286671630677587,0.9929178470254958,0.21635802469135804,0.3552965027876331,0.5100604560797977,0.5752842755035737,0.20408160954720447,0.9707844563669475,0.23281061519903498,0.3483650601541755
train_metrics,NeighborConnect_x_Race_4.0,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,NeighborConnect_x_Race_4.0,random_forest,AST,0.07509047044632086,0.02387774594078319,0.9868421052631579,0.046627292508548336,0.9942857142857143,0.053703703703703705,0.10190336749633969,0.5090817301132488,0.5202729044834308,0.07426533000244401,0.9720447596433095,0.07509047044632086,0.10063648519867018
train_metrics,NeighborConnect_x_Race_5.0,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,NeighborConnect_x_Race_5.0,random_forest,AST,0.15560916767189384,0.025435540069686412,0.9605263157894737,0.04955872369314325,0.9932735426008968,0.1367283950617284,0.24036896364622895,0.5093545413352917,0.548627355425601,0.1449638436696861,0.9710914894668884,0.15560916767189384,0.2359957494615382
train_metrics,NeighborConnect_x_Race_nan,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,NeighborConnect_x_Race_nan,random_forest,AST,0.19390832328106153,0.026267785479751914,0.9473684210526315,0.051118210862619806,0.9930434782608696,0.17623456790123457,0.29934469200524244,0.5096556318703107,0.5618014944769331,0.17523145143393112,0.9708857723949573,0.19390832328106153,0.2936555446690424
train_metrics,ParentalWarmth_x_Is_Male,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,ParentalWarmth_x_Is_Male,random_forest,AST,0.1224366706875754,0.025452109845947757,1.0,0.04964075767472241,1.0,0.10185185185185185,0.18487394957983191,0.5127260549229739,0.5509259259259259,0.11725735362727716,0.9776641617455646,0.1224366706875754,0.18177451574847237
train_metrics,ParentalWarmth_x_Race_1.0,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,ParentalWarmth_x_Race_1.0,random_forest,AST,0.13872135102533173,0.025597269624573378,0.9868421052631579,0.0499001996007984,0.9974093264248705,0.11882716049382716,0.21235521235521235,0.5115032980247219,0.5528346328784925,0.13112770597800538,0.9751361912267936,0.13872135102533173,0.20863187671910396
train_metrics,ParentalWarmth_x_Race_2.0,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,ParentalWarmth_x_Race_2.0,random_forest,AST,0.12665862484921592,0.02397029034436192,0.9342105263157895,0.0467412771560237,0.9858757062146892,0.10771604938271605,0.19421257651641624,0.5049229982795256,0.5209632878492527,0.12047692683621997,0.9638296231006528,0.12665862484921592,0.19083265530067742
train_metrics,ParentalWarmth_x_Race_3.0,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,ParentalWarmth_x_Race_3.0,random_forest,AST,0.2310012062726176,0.026053639846743294,0.8947368421052632,0.05063291139240507,0.9886685552407932,0.2154320987654321,0.35377597567156616,0.5073610975437682,0.5550844704353476,0.2022044435319856,0.9666062109796509,0.2310012062726176,0.3468281852960486
train_metrics,ParentalWarmth_x_Race_4.0,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,ParentalWarmth_x_Race_4.0,random_forest,AST,0.19903498190591074,0.027126099706744868,0.9736842105263158,0.052781740370898715,0.9965986394557823,0.1808641975308642,0.30616509926854757,0.5118623695812636,0.57727420402859,0.17947341981972315,0.9743791240694955,0.19903498190591074,0.30035776052421065
train_metrics,ParentalWarmth_x_Race_5.0,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,ParentalWarmth_x_Race_5.0,random_forest,AST,0.1094692400482509,0.02446280991735537,0.9736842105263158,0.04772653982586262,0.993127147766323,0.08919753086419753,0.16369300481450014,0.5087949788418392,0.5314408706952567,0.10570977232018137,0.9709261557046458,0.1094692400482509,0.16103514856023704
train_metrics,ParentalWarmth_x_Race_nan,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,ParentalWarmth_x_Race_nan,random_forest,AST,0.19843184559710494,0.027106227106227107,0.9736842105263158,0.05274411974340698,0.9965870307167235,0.18024691358024691,0.30527966544694196,0.5118466289114753,0.5769655620532814,0.17901189259517447,0.9743673259295107,0.19843184559710494,0.2994917578855823
train_metrics,Is_Male_x_Race_1.0,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,Is_Male_x_Race_1.0,random_forest,AST,0.1691797346200241,0.026511134676564158,0.9868421052631579,0.05163511187607573,0.997946611909651,0.15,0.26079957070029514,0.5122288732931075,0.5684210526315789,0.15621734128818543,0.9756821076063595,0.1691797346200241,0.25600569287440833
train_metrics,Is_Male_x_Race_2.0,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,Is_Male_x_Race_2.0,random_forest,AST,0.14384800965018094,0.025420817588457576,0.9736842105263158,0.04954804151322397,0.9950617283950617,0.12438271604938271,0.22112482853223592,0.5102412729917596,0.5490334632878493,0.13533643502272993,0.9728383540822444,0.14384800965018094,0.21719242931225854
train_metrics,Is_Male_x_Race_3.0,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,Is_Male_x_Race_3.0,random_forest,AST,0.1758142340168878,0.02570510531952874,0.9473684210526315,0.05005213764337852,0.9922330097087378,0.15771604938271605,0.27217043941411456,0.5089690575141332,0.5525422352176738,0.16111128852874654,0.9700809829495158,0.1758142340168878,0.2670796701334825
train_metrics,Is_Male_x_Race_4.0,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,Is_Male_x_Race_4.0,random_forest,AST,0.1703860072376357,0.02554097197587797,0.9473684210526315,0.049740932642487044,0.9919517102615694,0.1521604938271605,0.2638480064222638,0.5087463411187236,0.549764457439896,0.1567944695323754,0.9698023688533327,0.1703860072376357,0.2589408479158516
train_metrics,Is_Male_x_Race_5.0,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,Is_Male_x_Race_5.0,random_forest,AST,0.19059107358262967,0.025818181818181817,0.9342105263157895,0.05024769992922858,0.991166077738516,0.17314814814814813,0.29479768786127164,0.5084921297783489,0.5536793372319688,0.1725226938952501,0.9690410958054805,0.19059107358262967,0.289192802733758
train_metrics,Is_Male_x_Race_nan,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,Is_Male_x_Race_nan,random_forest,AST,0.23069963811821473,0.02676864244741874,0.9210526315789473,0.05202526941657377,0.9914407988587732,0.21450617283950618,0.3527023598071556,0.509104720653096,0.5677794022092267,0.20236381461186467,0.9693313043209979,0.23069963811821473,0.34581108753041123
train_metrics,Race_1.0_x_Race_2.0,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,Race_1.0_x_Race_2.0,random_forest,AST,0.19752714113389627,0.026730135481508606,0.9605263157894737,0.052012825080156755,0.9948717948717949,0.17962962962962964,0.30431372549019614,0.5108009651766517,0.5700779727095516,0.17816327528517645,0.9726827821716556,0.19752714113389627,0.298531195806492
train_metrics,Race_1.0_x_Race_3.0,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,Race_1.0_x_Race_3.0,random_forest,AST,0.19752714113389627,0.026730135481508606,0.9605263157894737,0.052012825080156755,0.9948717948717949,0.17962962962962964,0.30431372549019614,0.5108009651766517,0.5700779727095516,0.17816327528517645,0.9726827821716556,0.19752714113389627,0.298531195806492
train_metrics,Race_1.0_x_Race_4.0,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,Race_1.0_x_Race_4.0,random_forest,AST,0.19752714113389627,0.026730135481508606,0.9605263157894737,0.052012825080156755,0.9948717948717949,0.17962962962962964,0.30431372549019614,0.5108009651766517,0.5700779727095516,0.17816327528517645,0.9726827821716556,0.19752714113389627,0.298531195806492
train_metrics,Race_1.0_x_Race_5.0,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,Race_1.0_x_Race_5.0,random_forest,AST,0.19752714113389627,0.026730135481508606,0.9605263157894737,0.052012825080156755,0.9948717948717949,0.17962962962962964,0.30431372549019614,0.5108009651766517,0.5700779727095516,0.17816327528517645,0.9726827821716556,0.19752714113389627,0.298531195806492
train_metrics,Race_1.0_x_Race_nan,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,Race_1.0_x_Race_nan,random_forest,AST,0.19752714113389627,0.026730135481508606,0.9605263157894737,0.052012825080156755,0.9948717948717949,0.17962962962962964,0.30431372549019614,0.5108009651766517,0.5700779727095516,0.17816327528517645,0.9726827821716556,0.19752714113389627,0.298531195806492
train_metrics,Race_2.0_x_Race_3.0,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,Race_2.0_x_Race_3.0,random_forest,AST,0.19752714113389627,0.026730135481508606,0.9605263157894737,0.052012825080156755,0.9948717948717949,0.17962962962962964,0.30431372549019614,0.5108009651766517,0.5700779727095516,0.17816327528517645,0.9726827821716556,0.19752714113389627,0.298531195806492
train_metrics,Race_2.0_x_Race_4.0,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,Race_2.0_x_Race_4.0,random_forest,AST,0.19752714113389627,0.026730135481508606,0.9605263157894737,0.052012825080156755,0.9948717948717949,0.17962962962962964,0.30431372549019614,0.5108009651766517,0.5700779727095516,0.17816327528517645,0.9726827821716556,0.19752714113389627,0.298531195806492
train_metrics,Race_2.0_x_Race_5.0,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,Race_2.0_x_Race_5.0,random_forest,AST,0.19752714113389627,0.026730135481508606,0.9605263157894737,0.052012825080156755,0.9948717948717949,0.17962962962962964,0.30431372549019614,0.5108009651766517,0.5700779727095516,0.17816327528517645,0.9726827821716556,0.19752714113389627,0.298531195806492
train_metrics,Race_2.0_x_Race_nan,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,Race_2.0_x_Race_nan,random_forest,AST,0.19752714113389627,0.026730135481508606,0.9605263157894737,0.052012825080156755,0.9948717948717949,0.17962962962962964,0.30431372549019614,0.5108009651766517,0.5700779727095516,0.17816327528517645,0.9726827821716556,0.19752714113389627,0.298531195806492
train_metrics,Race_3.0_x_Race_4.0,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,Race_3.0_x_Race_4.0,random_forest,AST,0.19752714113389627,0.026730135481508606,0.9605263157894737,0.052012825080156755,0.9948717948717949,0.17962962962962964,0.30431372549019614,0.5108009651766517,0.5700779727095516,0.17816327528517645,0.9726827821716556,0.19752714113389627,0.298531195806492
train_metrics,Race_3.0_x_Race_5.0,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,Race_3.0_x_Race_5.0,random_forest,AST,0.19752714113389627,0.026730135481508606,0.9605263157894737,0.052012825080156755,0.9948717948717949,0.17962962962962964,0.30431372549019614,0.5108009651766517,0.5700779727095516,0.17816327528517645,0.9726827821716556,0.19752714113389627,0.298531195806492
train_metrics,Race_3.0_x_Race_nan,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,Race_3.0_x_Race_nan,random_forest,AST,0.19752714113389627,0.026730135481508606,0.9605263157894737,0.052012825080156755,0.9948717948717949,0.17962962962962964,0.30431372549019614,0.5108009651766517,0.5700779727095516,0.17816327528517645,0.9726827821716556,0.19752714113389627,0.298531195806492
train_metrics,Race_4.0_x_Race_5.0,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,Race_4.0_x_Race_5.0,random_forest,AST,0.19752714113389627,0.026730135481508606,0.9605263157894737,0.052012825080156755,0.9948717948717949,0.17962962962962964,0.30431372549019614,0.5108009651766517,0.5700779727095516,0.17816327528517645,0.9726827821716556,0.19752714113389627,0.298531195806492
train_metrics,Race_4.0_x_Race_nan,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,Race_4.0_x_Race_nan,random_forest,AST,0.19752714113389627,0.026730135481508606,0.9605263157894737,0.052012825080156755,0.9948717948717949,0.17962962962962964,0.30431372549019614,0.5108009651766517,0.5700779727095516,0.17816327528517645,0.9726827821716556,0.19752714113389627,0.298531195806492
train_metrics,Race_5.0_x_Race_nan,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,Race_5.0_x_Race_nan,random_forest,AST,0.19752714113389627,0.026730135481508606,0.9605263157894737,0.052012825080156755,0.9948717948717949,0.17962962962962964,0.30431372549019614,0.5108009651766517,0.5700779727095516,0.17816327528517645,0.9726827821716556,0.19752714113389627,0.298531195806492
